location,n,hashtag,covid_period,lon,lat
United Kingdom,182,UKEdchat,before,-3.435973,55.378051
"London, England",180,UKEdchat,before,-0.1275862,51.5072178
UK,142,UKEdchat,before,-3.435973,55.378051
London,105,UKEdchat,before,-0.1275862,51.5072178
"England, United Kingdom",78,UKEdchat,before,-1.1743197,52.3555177
"North West, England",46,UKEdchat,before,-2.5945013,53.6221338
"London, UK",42,UKEdchat,before,-0.1275862,51.5072178
"Manchester, England",37,UKEdchat,before,-2.2426305,53.4807593
"South West, England",28,UKEdchat,before,-3.999461,50.77721349999999
"Birmingham, England",22,UKEdchat,before,-1.890401,52.48624299999999
"South East, England",22,UKEdchat,before,-1.1743197,52.3555177
"Bristol, England",21,UKEdchat,before,-2.58791,51.454513
England,21,UKEdchat,before,-1.1743197,52.3555177
Worldwide,21,UKEdchat,before,NA,NA
Global,20,UKEdchat,before,NA,NA
"North East, England",19,UKEdchat,before,-1.9479664,54.9456129
"Dubai, United Arab Emirates",18,UKEdchat,before,55.2707828,25.2048493
"Leeds, England",18,UKEdchat,before,-1.5490774,53.8007554
"Edinburgh, Scotland",17,UKEdchat,before,-3.188267,55.953252
"Scotland, United Kingdom",14,UKEdchat,before,-4.2026458,56.49067119999999
"West Midlands, England",14,UKEdchat,before,-1.829833,52.4750743
"Liverpool, England",13,UKEdchat,before,-2.9915726,53.4083714
"Nottingham, England",13,UKEdchat,before,-1.1549892,52.9540223
Yorkshire and The Humber,13,UKEdchat,before,NA,NA
"East Midlands, England",12,UKEdchat,before,-1.1743197,52.3555177
Leeds,12,UKEdchat,before,-1.5490774,53.8007554
Manchester,12,UKEdchat,before,-2.2426305,53.4807593
"Wales, United Kingdom",12,UKEdchat,before,-3.7837117,52.1306607
"York, England",12,UKEdchat,before,-1.0739108,53.9614205
"Cambridge, England",11,UKEdchat,before,0.1312729,52.1950788
United States,11,UKEdchat,before,-95.712891,37.09024
"East, England",10,UKEdchat,before,0.1926716,52.1910738
"Glasgow, Scotland",10,UKEdchat,before,-4.251806,55.864237
"Oxford, England",10,UKEdchat,before,-1.2577263,51.7520209
"Birmingham, UK",9,UKEdchat,before,-1.890401,52.48624299999999
"Brighton, England",9,UKEdchat,before,-0.1362672,50.8229402
"Cardiff, Wales",9,UKEdchat,before,-3.1680962,51.483707
Leicestershire,9,UKEdchat,before,-1.2052126,52.772571
Scotland,9,UKEdchat,before,-4.2026458,56.49067119999999
"Yorkshire and The Humber, Engl",9,UKEdchat,before,-1.1743197,52.3555177
Australia,8,UKEdchat,before,133.775136,-25.274398
"Bristol, UK",8,UKEdchat,before,-2.58791,51.454513
Cardiff,8,UKEdchat,before,-3.1680962,51.483707
India,8,UKEdchat,before,78.96288,20.593684
"Leicester, England",8,UKEdchat,before,-1.1397592,52.6368778
"Peterborough, England",8,UKEdchat,before,-0.2407996999999999,52.57031689999999
Birmingham,7,UKEdchat,before,-86.8103567,33.5185892
Cambridge,7,UKEdchat,before,0.1312729,52.1950788
Canada,7,UKEdchat,before,-106.346771,56.130366
"Derby, England",7,UKEdchat,before,-1.4746186,52.9225301
Derbyshire,7,UKEdchat,before,-1.5623885,53.1046782
Hampshire,7,UKEdchat,before,-1.3080629,51.05769480000001
"London, United Kingdom",7,UKEdchat,before,-0.1275862,51.5072178
New Zealand,7,UKEdchat,before,174.885971,-40.900557
Nottingham,7,UKEdchat,before,-1.1549892,52.9540223
"Sheffield, England",7,UKEdchat,before,-1.470085,53.38112899999999
Wiltshire,7,UKEdchat,before,-1.9927105,51.3491996
"Worcester, England",7,UKEdchat,before,-2.221575,52.193636
"Bangkok, Thailand",6,UKEdchat,before,100.5017651,13.7563309
"Cambridge, UK",6,UKEdchat,before,0.1312729,52.1950788
"Chicago, IL",6,UKEdchat,before,-87.6297982,41.8781136
Hong Kong,6,UKEdchat,before,114.1693611,22.3193039
"Islington, London",6,UKEdchat,before,-0.1028346,51.538621
"Manchester, UK",6,UKEdchat,before,-2.2426305,53.4807593
"Milton Keynes, England",6,UKEdchat,before,-0.7594171,52.0406224
New Jersey,6,UKEdchat,before,-74.4056612,40.0583238
Oxford,6,UKEdchat,before,-1.2577263,51.7520209
"Reading, England",6,UKEdchat,before,-0.9787475,51.45512009999999
Singapore,6,UKEdchat,before,103.819836,1.352083
"Southampton, England",6,UKEdchat,before,-1.4049018,50.9105468
