hashtag,n_before,p_before,odds_before,n_during,p_during,odds_during,log_odds_ratio
#ncw2019,599,0.54,0.0054159132007233265,0,0,0,-Inf
#stlchat,964,0.87,0.008744953961990293,1,0,1.4238523749857615e-5,-6.4202808915855085
#scchat,479,0.43,0.004326228323699422,27,0.04,3.8458251431501577e-4,-2.420293017002103
#vbezone,561,0.5,0.005070590574666933,36,0.05,5.128424291636394e-4,-2.2912439315943054
#tlap,387,0.35,0.0034924015449590297,39,0.06,5.556030429951277e-4,-1.8382908124957476
#headteachers,943,0.85,0.008552822522130315,45,0.06,6.411352367926141e-4,-2.5907762144971747
#ukpastoralchat,587,0.53,0.005306838317723213,47,0.07,6.696492177927223e-4,-2.0699974967630523
#ofsted,454,0.41,0.004099507878459524,64,0.09,9.120836836779774e-4,-1.5028904715606266
#readingrocks,446,0.4,0.004026978953166054,73,0.1,0.001040478905359179,-1.3533353623411124
#teachuaechat,893,0.8,0.008095661160770946,110,0.16,0.0015686721902941972,-1.6410987361423075
#sen,462,0.42,0.004172047283202544,115,0.16,0.0016400924156422033,-0.9336542792862897
#earlyyears,475,0.43,0.004289946172464867,131,0.19,0.0018687056004108298,-0.8310281867530939
#pedagoofriday,378,0.34,0.0034109058752402523,145,0.21,0.002068827759388198,-0.49999576152264325
#ceiag,529,0.48,0.004779976506731725,147,0.21,0.0020974231658248436,-0.8237261042044833
#teacher5aday,552,0.5,0.004988838377904507,154,0.22,0.002197519941779991,-0.8198736673708381
#caedchat,489,0.44,0.004416945172071177,157,0.22,0.002240424681774074,-0.6787828816287641
#curriculum,676,0.61,0.0061163739674094985,168,0.24,0.002397773496039392,-0.9364288351668212
#ocrbiology,736,0.66,0.0066628644885617806,179,0.25,0.0025551717246695407,-0.9584300628539533
#edexcelbiology,703,0.63,0.006362221256878077,179,0.25,0.0025551717246695407,-0.912258137985033
#send,592,0.53,0.005352283309374633,188,0.27,0.0026839888643015205,-0.6902191864774585
#edtechchat,431,0.39,0.003891015455727286,209,0.3,0.002984690963098366,-0.2651739546334042
#ncw2020,500,0.45,0.004516752635525163,257,0.37,0.0036726877786669716,-0.2068695333944037
#lessonplans,332,0.3,0.002994579090261304,263,0.37,0.0037587537516078316,0.2272837692042204
#wholeschool,314,0.28,0.0028317626369662265,264,0.38,0.0037730995154997213,0.2869974586417387
#historyteacher,303,0.27,0.002732289712884144,266,0.38,0.0038017922735003647,0.33033262612741393
#edu,536,0.48,0.004843533972511137,271,0.39,0.0038735313455876045,-0.22347803052795298
#pgce,646,0.58,0.0058433511528407185,274,0.39,0.003916579710973571,-0.40008570958324097
#pechat,260,0.23,0.0023436302833088453,274,0.39,0.003916579710973571,0.5135176199116042
#pedagoo,738,0.66,0.006681091063814378,277,0.39,0.003959631768540225,-0.5231302739171378
#ukedconf21,0,0,0,279,0.4,0.003988335191697401,Inf
#teacherlife,665,0.6,0.006016248394159263,292,0.42,0.0041749474557126725,-0.36536210195234564
#whatitaughttoday,610,0.55,0.005515919304813318,293,0.42,0.0041893051186731485,-0.2751034531480313
#primary,545,0.49,0.00492526253004862,301,0.43,0.0043041812045987535,-0.1347906553835146
#edapp,263,0.24,0.0023707362803778755,301,0.43,0.0043041812045987535,0.5963863496872719
#blendedlearning,53,0.05,4.7685026901552916e-4,309,0.44,0.004419083576454436,2.226485077754921
#lrnchat,589,0.53,0.005325015821354308,314,0.45,0.0044909109111972425,-0.17036012601467856
#pink,460,0.41,0.004153911449444188,314,0.45,0.0044909109111972425,0.07800514843291685
#ks1,415,0.37,0.0037460283073367994,314,0.45,0.0044909109111972425,0.18135939604579118
#edchatnz,221,0.2,0.0019913856800446938,315,0.45,0.004505277610915644,0.8164187939589762
#scichat,593,0.53,0.005361372800752219,326,0.46,0.004663338435349822,-0.1394884677536159
#growthmindset,369,0.33,0.0033294234413065054,326,0.46,0.004663338435349822,0.33693244582644266
#distancelearning,1,0,8.992967499415457e-6,339,0.48,0.004850201734054426,6.290332694777984
#lgbt,696,0.63,0.006298471534709465,346,0.49,0.00495084922803955,-0.2407478673381144
#k12,647,0.58,0.005852449526014907,349,0.5,0.004993990040638772,-0.15862509840948813
#asechat,3964,3.56,0.03696554296638224,355,0.51,0.005080282778556914,-1.9846192824515472
#school,833,0.75,0.0075476143015058995,361,0.51,0.005166590336615526,-0.37901856518147664
#tes,490,0.44,0.004426017758267169,367,0.52,0.0052529127186328115,0.1712824724242458
#careers,846,0.76,0.007666307214121954,374,0.53,0.005353640905252008,-0.3590581685661022
#onlinelearning,28,0.03,2.5186424517185236e-4,374,0.53,0.005353640905252008,3.0566419187436584
#engchat,913,0.82,0.008278475962497507,386,0.55,0.005526364768708749,-0.4041286550942766
#aqabiology,1541,1.39,0.014052782286746066,391,0.56,0.005598350562698662,-0.920348391721563
#homelearninguk,0,0,0,392,0.56,0.005612748958348248,Inf
#mentalhealth,731,0.66,0.00661730093782815,393,0.56,0.005627147766323024,-0.16208487315431816
#teachertips,784,0.71,0.0071004845356156315,399,0.57,0.005713549273992611,-0.21732260646965978
#edujob,662,0.6,0.005988944878185585,401,0.57,0.005742353075953718,-0.04204617952366825
#pshe,572,0.51,0.00517052799045441,413,0.59,0.005915210541392151,0.13455228216505874
#teacher5oclockclub,228,0.21,0.002054590839048039,421,0.6,0.006030481865581849,1.076750195881755
