hashtag,n_before,p_before,odds_before,n_during,p_during,odds_during,log_odds_ratio
#eparenting,3361,0.52,0.005236107800569881,0,0,0,-Inf
#iste19,2729,0.42,0.004247331993818102,126,0.03,3.257775353119578e-4,-2.5678315572278136
#asechat,3429,0.53,0.00534261110184927,201,0.05,5.197935307686738e-4,-2.3300381063172426
#books,2812,0.44,0.0043770760758236596,738,0.19,0.0019111496678794783,-0.8286759575390026
#educación,3249,0.5,0.005060739780779157,1139,0.29,0.002952658948449012,-0.5388065715005191
#whatisschool,2615,0.41,0.004069183906883378,1344,0.35,0.0034859382335319243,-0.15470523656475527
#ai,2832,0.44,0.0044083447225949455,1369,0.35,0.003551011091397682,-0.21626689523472803
#techtalk,3414,0.53,0.005319115786587228,1475,0.38,0.003827013787627978,-0.32922227484924754
#iphone,3441,0.53,0.00536140814479074,1516,0.39,0.0039338102689055136,-0.30961816390067676
#spedchat,3429,0.53,0.00534261110184927,1520,0.39,0.0039442306544568515,-0.3034605864510812
#earlyed,4087,0.63,0.006374354103402723,1540,0.4,0.00399633582715069,-0.4669048707146905
#onted,3084,0.48,0.004802496550736102,1540,0.4,0.00399633582715069,-0.1837579993541702
#gsuiteedu,3383,0.52,0.005270562281594162,1542,0.4,0.004001546641892716,-0.27545610480226435
#7thchat,2621,0.41,0.0040785585462218485,1566,0.4,0.004064080638003566,-0.0035560763893952552
#algebra,3695,0.57,0.005759443851267623,1708,0.44,0.00443423290107351,-0.26148628045410355
#6thchat,2937,0.46,0.004572537065262575,1773,0.46,0.004603759867054425,0.006805124663102085
#steam,3442,0.53,0.005362974596764141,1834,0.47,0.004762906463684786,-0.118660699714602
#digitallearning,2739,0.42,0.004262962034891232,1834,0.47,0.004762906463684786,0.11089385149877178
#scichat,5724,0.89,0.008950378874353819,1867,0.48,0.0048490231828499895,-0.6129185846541914
#googleedu,2600,0.4,0.0040457480743795226,1926,0.5,0.00500302623341741,0.21237650457624777
#txed,2594,0.4,0.0040363740477020365,1934,0.5,0.005023911637343198,0.21886206488066354
#elachat,3210,0.5,0.004999688492928789,2056,0.53,0.005342521639031589,0.06632214948079047
#growthmindset,3405,0.53,0.005305019124554994,2088,0.54,0.005426124920414236,0.022571859467300122
#physicsteaching,3488,0.54,0.005435036664682547,2111,0.55,0.0054862233680369665,0.009373841115484642
#globaled,2873,0.45,0.004472451535469046,2117,0.55,0.00550190240555544,0.2071572241252303
#mlearning,4201,0.65,0.0065533211969755825,2138,0.55,0.005556782887811724,-0.16495265061376138
#1stchat,2545,0.39,0.0039598260477201825,2174,0.56,0.005650877653560131,0.35561077304995115
#joyfulleaders,3539,0.55,0.005514943642854805,2197,0.57,0.005711002973776696,0.03493322662365616
#pln,2924,0.45,0.00455220557785299,2211,0.57,0.005747604514898019,0.23317130400163855
#aqascience,2544,0.39,0.003958263965172256,2211,0.57,0.005747604514898019,0.3729776253891576
#digcit,1996,0.31,0.003102973320025993,2211,0.57,0.005747604514898019,0.6164223745933192
#physics,3908,0.61,0.006093472749328752,2291,0.59,0.005956807296893932,-0.022683508078595666
#kidsdeserveit,7959,1.23,0.01248880024980739,2303,0.6,0.005988195220884579,-0.7350421946187526
#socialenterprise,200,0.03,3.10053484226029e-4,2306,0.6,0.0059960425079370865,2.9621101362207667
#3rdchat,2430,0.38,0.003780218412619396,2351,0.61,0.0061137665066494686,0.48076124371153034
#colleges,680,0.11,0.0010549668771429013,2355,0.61,0.006124232195517738,1.7587440223771693
#covid,1,0,1.5497893061438297e-6,2375,0.61,0.006176563905980995,8.290398403385192
#ela,2766,0.43,0.0043051655761077315,2421,0.63,0.006296947502028756,0.3802493940014111
#4thchat,3462,0.54,0.005394304661352347,2422,0.63,0.006299564856647185,0.15513685598983493
#hschat,3735,0.58,0.005822155366593144,2431,0.63,0.006323121660918375,0.08254248881549765
#sped,1063,0.16,0.0016501419618837386,2442,0.63,0.006351914808389106,1.3478949903605908
#5thchat,3790,0.59,0.005908396470551554,2475,0.64,0.006438304137683459,0.08589070295727347
#games,356,0.06,5.520287054926856e-4,2494,0.64,0.006488050177029597,2.464117281957039
